Tag		Description			含义描述		Example
r		pronoun				代词			我们		
n		general noun		名词			苹果		
ns		geographical name	地名			北京		
wp		punctuation			标点			，。！		
k		suffix				后缀			界,率		
h		prefix				前缀			阿,伪		
u		auxiliary			助词			的,地		
c		conjunction			连词			和,虽然		
v		verb				动词			跑,学习		
p		preposition			介词			在,把		
d		adverb				副词			很
q		quantity			量词			个	
nh		person name			人名			杜甫,汤姆		
m		number				数词			一，第一		
e		exclamation			语气词			哎		
b		other noun-modifier	状态词			大型,西式		
a		adjective			形容词			美丽		
nd		direction noun		方位词			右侧		
nl		location noun		处所词			城郊		
o		onomatopoeia		拟声词			哗啦		
nt		temporal noun		时间词			近日,明代		
nz		other proper noun	其他专名		诺贝尔奖		
nl		organization name	机构团体		保险公司		
i		idiom				成语			百花齐放		
j		abbreviation		缩写词			公检法		
ws		foreign words		外来词			CPU		
g		morpheme			词素			茨,甥		
x		non-lexeme			非词位			萄,翱		
